"registry_id","source_alias","source_name","indicator_type","source_age_band","target_age_band","exact_overlap","required_auxiliary_data","preferred_method_code","formal_formula_or_rule","estimate_class","can_publish_18_35","blocked_reason","validation_required","method_reference_ids","source_url"
"ARC-001","DGBAS-EMP-EDU-AGE","就業者之教育程度與年齡","教育程度人數或占比","15–24；25–29；30–34；35–39…","18–35","否；18–19與35為邊界缺口","各單一年齡×教育程度的調查微資料與權數；或官方客製表；估計時另需MOI-POP1Y單齡邊際","AR-M2-SURVEY-REESTIMATE；備援AR-M3B-PCLM+AR-M3C-IPF","人數 N_e(18–35)=Σ_i w_i·I(18≤age_i≤35)·I(edu_i=e)；占比 p_e=N_e/Σ_eN_e。只有分組人數時，先以PCLM分解每一教育類別的單齡曲線，再以IPF校準至官方單齡人口邊際後加總18–35。","優先官方調查估計值；備援為模型估計值","條件式","只有百分比而無分子分母、微資料或可驗證邊際時不得轉換","與25–29官方表回算；邊界保留法回測；權數與抽樣設計查核","REF-DGBAS-HR；REF-EILERS2007；REF-DEMING1940；REF-DEVILLE1992","https://data.gov.tw/dataset/34112"
"ARC-002","DGBAS-HR-MICRODATA","人力資源調查微資料或官方客製表","勞參率、就業人口比率、失業率","單一年齡（申請取得）","18–35","是","年齡、就業狀態、失業狀態、勞動力狀態、調查權數、分層與群集識別欄位","AR-M2-SURVEY-REESTIMATE","勞參率=Σw·I(LF=1)/Σw；就業人口比率=Σw·I(E=1)/Σw；失業率=Σw·I(U=1)/Σw·I(LF=1)，三式均限制18≤age≤35，變異數依原抽樣設計估計。","官方調查估計值","是","未取得微資料、權數或官方客製表前不得產製18–35結果","與官方25–29表比對；設計加權、母體校準與標準誤查核","REF-DGBAS-HR；REF-DEVILLE1992","https://www.stat.gov.tw/News_Content.aspx?n=4001&s=236078"
"ARC-003","DGBAS-HR-T27","表27：15歲以上民間人口教育程度與年齡","民間人口數","25–29；30–34；35–39（目前擷取）","18–35","否","完整表中的15–24分組及單齡18、19、35；或人力資源調查微資料與權數","AR-M2-SURVEY-REESTIMATE；若取得單齡則AR-M1-EXACT-SUM","N(18–35)=N18+N19+N20–24+N25–29+N30–34+N35；調查表值須以未四捨五入分子重算，不可把百分比直接平均。","官方調查估計值","條件式","目前只有25–39分組，缺18–24且35與36–39混合","重算25–29；檢查加總與官方總計的四捨五入差","REF-DGBAS-HR","https://www.stat.gov.tw/News_Content.aspx?n=4001&s=236078"
"ARC-004","DGBAS-HR-T27+T32","表27與表32組合","就業人口比率","25–29","18–35","否","18–35各單齡或可完整涵蓋的就業人數E_a與民間人口P_a；或微資料權數","AR-M5-RATE-RECOMPUTE；優先AR-M2-SURVEY-REESTIMATE","R(18–35)=100×Σ_{a=18}^{35}E_a/Σ_{a=18}^{35}P_a；不得對各年齡率做算術平均。","官方調查估計值","條件式","僅有25–29比率不能外推18–35","用25–29分子分母重算官方率；分母一致性與四捨五入查核","REF-DGBAS-HR","https://www.stat.gov.tw/News_Content.aspx?n=4001&s=236078"
"ARC-005","DGBAS-HR-T32","表32：就業者教育程度與年齡","就業人數","25–29；30–34；35–39（目前擷取）","18–35","否","18–24及單齡35就業人數；或人力資源調查微資料與權數","AR-M2-SURVEY-REESTIMATE；若取得單齡則AR-M1-EXACT-SUM","E(18–35)=E18+E19+E20–24+E25–29+E30–34+E35；教育占比以各教育類別加權就業人數除以18–35總就業人數。","官方調查估計值","條件式","目前擷取缺18–24且35與36–39混合","與25–29官方表回算；教育類別加總與總就業人數核對","REF-DGBAS-HR","https://www.stat.gov.tw/News_Content.aspx?n=4001&s=236078"
"ARC-006","DGBAS-HR-T37","表37：年齡組別失業率","失業率","25–29（目前擷取）","18–35","否","18–35各單齡失業人數U_a與勞動力人口LF_a；或微資料與權數","AR-M5-RATE-RECOMPUTE；優先AR-M2-SURVEY-REESTIMATE","UR(18–35)=100×ΣU_a/ΣLF_a，a=18…35；年齡組率不得直接相加或平均。","官方調查估計值","條件式","只有率且缺分子分母時不可轉換","以25–29分子分母回算；調查標準誤與相對標準誤查核","REF-DGBAS-HR","https://www.stat.gov.tw/News_Content.aspx?n=4001&s=236078"
"ARC-007","DGBAS-HR-T50","表50：就業者教育程度－按年齡分","教育程度就業人數及占比","25–29（目前擷取）","18–35","否","18–35各單齡教育程度就業人數；或微資料與權數","AR-M2-SURVEY-REESTIMATE；若取得單齡則AR-M1-EXACT-SUM","N_e=Σw·I(18≤age≤35)·I(edu=e)；p_e=100×N_e/Σ_eN_e。不可用各年齡組百分比的簡單平均。","官方調查估計值","條件式","只有25–29表值不足以推估18–35","25–29重算；各教育類別占比合計與四捨五入差查核","REF-DGBAS-HR","https://www.stat.gov.tw/News_Content.aspx?n=4001&s=236078"
"ARC-008","DGBAS-HUF-WAGE-MICRODATA","人力運用調查微資料或官方客製表","薪資平均數","單一年齡（申請取得）","18–35","是","年齡、全年總薪資、調查權數、有效受僱者篩選欄位、抽樣設計欄位","AR-M6-WEIGHTED-MEAN","平均薪資 μ=Σw_i·salary_i/Σw_i，限制18≤age_i≤35且符合官方薪資母體定義；須依官方規則處理零值、遺漏與極端值。","官方調查估計值","是","未取得微資料、權數與母體定義前不得產製","與官方25–29平均數比對；權數、有效樣本數與極端值處理查核","REF-DGBAS-HR；REF-DEVILLE1992",""
"ARC-009","DGBAS-HUF-WAGE-MICRODATA","人力運用調查微資料或官方客製表","薪資中位數","單一年齡（申請取得）","18–35","是","年齡、全年總薪資、調查權數、有效受僱者篩選欄位、抽樣設計欄位","AR-M7-WEIGHTED-QUANTILE","加權中位數 m 為使累積權重首次達Σw/2的薪資值；限制18≤age≤35。不可由各組中位數加權或平均得到。","官方調查估計值","是","只有分組中位數而無微資料分布時無法轉換","與官方25–29中位數比對；加權累積分布與有效樣本數查核","REF-DGBAS-HR",""
"ARC-010","MOI-EDU5Y","15歲以上現住人口按性別、年齡、婚姻狀況及教育程度分","教育程度人數及占比","15–19；20–24；25–29；30–34；35–39…","18–35","否；20–34可整組納入，18、19、35需拆分","優先官方單齡×教育客製表；備援需MOI-POP1Y單齡人口、分組教育人數及非零種子矩陣","AR-M1-EXACT-SUM；備援AR-M3B-PCLM+AR-M3C-IPF","N_e(18–35)=N_e18+N_e19+N_e20–24+N_e25–29+N_e30–34+N_e35。備援：對各教育類別以PCLM分解單齡，再用IPF使單齡總人口符合MOI-POP1Y、教育分組總數符合原表，最後加總。","優先官方行政精確值；備援為模型估計值","條件式","不得依年齡寬度假設15–19均分後直接發布為官方精確值","合併回原5歲組須完全一致；18、19、35留一邊界回測；替代種子敏感度分析","REF-UN-SPRAGUE；REF-UN-WPP2024；REF-EILERS2007；REF-DEMING1940","https://data.gov.tw/dataset/117988"
