資料版本,資料更新日期,來源查核日期,新北市地區名,民國年度,年齡層,性別,資料主題,指標名稱,分類維度,分類名稱,數值,下限,上限,單位,同類排名,同類項目數,同類分位帶,可比較年度數,時間排名,歷史位置,可得年度平均,與可得年度平均差值,與可得年度平均差率_百分比,前一年數值,與前一年差值,與前一年變化率_百分比,資料身分,計算方法,來源代號,來源網址,可用性狀態,限制說明,政策分析可用性,政策分析限制
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,戶籍人口,戶籍人口數,,,313745,,,人,,,,5,1,可得年度最高,287253.8,26491.2,9.222228,,,,官方行政精確值,單一年齡戶籍人口直接加總,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,戶籍人口,占該地區同年齡性別戶籍人口比率,,,7.827748,,,%,,,,5,1,可得年度最高,7.134581,0.693167,9.715592,,,,官方行政精確值直接計算,青年戶籍人口÷該地區同年度同性別戶籍人口×100,MOI-POP1Y,https://data.gov.tw/dataset/77132,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,戶籍人口,戶籍人口密度,,,152.854714,,,人/平方公里,,,,5,1,可得年度最高,139.948358,12.906356,9.222228,,,,官方行政精確值直接計算,戶籍人口數÷官方土地面積,MOI-POP1Y+NTPC-AREA,https://data.gov.tw/dataset/77132；https://data.ntpc.gov.tw/datasets/13f881c7-53c4-4f8c-b693-816584562666,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,專科,2.769447,2.769447,2.769447,%,4,5,中間60%,5,1,可得年度最高,2.560123,0.209324,8.176317,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,研究所,0.474589,0.474589,0.474589,%,5,5,後20%,5,5,可得年度最低,0.597565,'-0.122976,'-20.579492,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,國中及以下,18.939954,18.939954,23.847331,%,3,5,中間60%,5,5,可得年度最低,19.756459,'-0.816505,'-4.13285,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,高中職,54.572931,49.665554,54.572931,%,1,5,前20%,5,1,可得年度最高,53.46833,1.104601,2.065898,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,教育程度,教育程度占比,教育程度,大學,23.24308,23.24308,23.24308,%,2,5,中間60%,5,4,接近可得年度平均,23.617523,'-0.374443,'-1.585446,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-EDU,https://data.gov.tw/dataset/117988,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,離婚或終止結婚,0.422634,0.419784,0.422634,%,3,4,中間60%,5,5,可得年度最低,0.441502,'-0.018868,'-4.273637,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
G6-POLICY-RANKING-2.1,2026-09-07T07:37:07.230Z,2026-09-07,新北市,110,18–24歲,合計,婚姻狀態,婚姻狀態占比,婚姻狀態,有偶,1.765275,1.734793,1.765275,%,2,4,中間60%,5,1,可得年度最高,1.608254,0.157021,9.763459,,,,官方行政邊際推估值,全市PCLM種子加行政區IPF邊際校準,MOI-MARITAL,https://data.gov.tw/dataset/117986,可發布,,可做描述、趨勢、相對位置與政策問題初篩,不得由描述性關聯宣稱因果、政策效果或直接核定資源
